name,description
Dutch oven cooking,"A Dutch oven is well suited for long, slow cooking, such as in making roasts, stews, and casseroles. Virtually any recipe that can be cooked in a conventional oven can be cooked in a Dutch oven. They are often used in outdoor cooking, such as when camping."
earth oven,"A shallow pit in the ground used to trap heat and bake, smoke, or steam food."
egg wash,"A preparation of beaten eggs, sometimes mixed with another liquid such as water or milk, which is brushed onto the surface of a pastry before baking."
emulsify,To combine two liquids that have a natural tendency to separate (such as oil and vinegar) into one homogeneous mass.
en papillote,A technique by which a food is put into a folded pouch or parcel and then baked.
en vessie,"A cooking method by which a meat or other dish is cooked inside an animal bladder, often a pig bladder."
engastration,A cooking method by which the cook stuffs the remains of one animal into another animal.
engine cooking,"Cooking food from the excess heat of an internal combustion engine, typically the engine of a car or a truck."
escagraph,Writing made out of food.
fermentation,"Fermentation is a culinary technique using microorganisms (bacteria, yeast, or mold) to break down carbohydrates in food, producing acids or alcohol that preserve, enhance flavor, and improve digestibility."
fillet,To remove bones from meat or fish.
flambe,To pour alcohol over food and then ignite.
flattop grill,Refers to cooking that is taken place over a flat-top grill.
foam,"A gelling or stabilizing agent in which air is suspended, creating a light, ""fluffy"" edible substance, e.g. whipped cream, meringue, and mousse."
canning,"Involves the cooking of foods in sealed cans, among other processes."
fondue,"A communal cooking technique involving dipping foods into a central pot of melted cheese, hot oil/broth, or chocolate."
fricassee,"A stew made with pieces of meat that have been browned in butter, then served in a sauce flavored with the cooking stock."
frosting,The act of applying icing to the exterior of a baked good (such as a cake or cookie).
frying,To cook food in oil.
chicken frying,Battering and pan-frying a piece of beefsteak
garnish,To add a (typically edible) decorative element to a plate of food prior to serving.
gentle frying,"A cooking technique using a small amount of fat to cook delicate foods, such as eggs, fish, or soft vegetables, slowly at lower temperatures. Also called low-temperature shallow frying."
glazing,"Coating the outer surface of a dish by dipping, dripping, or using a brush with a sweet or savory liquid or sauce."
gratin,"A culinary technique in which a dish is topped with a browned crust, often using breadcrumbs, cheese, or egg."
grilling,"A form of cooking that involves heat applied to the surface of food, commonly from above, below or from the side. Usually involves a significant amount of direct, radiant heat."
Hangi,A traditional New Zealand Maori method of cooking food using heated rocks buried in a pit oven still used for special occasions.
hibachi,"Japanese cooking technique that uses a high-heat flat-top griddle to quickly sear meats, seafood, and vegetables using oil, butter, soy sauce, and sesame oil. Often called teppanyaki in Western restaurants."
high-altitude cooking,"The process of cooking a food or beverage at altitudes well above sea level, where lower atmospheric pressure causes most foods to cook more slowly and may necessitate the use of special cooking techniques."
hot salt frying,Oil-free cooking technique that cooks food in a bath of hot salt instead of oil
indirect grilling,A barbecue cooking technique in which the food is placed to the side of or above the heat source instead of directly over the flame.
infusion,"The process of extracting chemical compounds or flavors from plant material in a solvent such as water, oil, or alcohol, by allowing the material to remain suspended in the solvent over time (a process often called steeping). A common example of an infusion is tea, and many herbal teas are prepared in the same way."
jugging,"The process of stewing whole animals, mainly game or fish, for an extended period in a tightly covered container such as a casserole dish or an earthenware jug."
juicing,The process of extracting juice from plant tissues such as fruit or vegetables.
Julienne,A culinary knife cut which involves cutting food (typically vegetables) into long thin strips.
kalua,"A traditional Hawaiian cooking method that utilizes an imu, a type of underground oven."
karaage,"A Japanese cooking technique in which various foods - most often chicken, but also other meat and fish - are deep fried in oil, similar to the preparation of tempura, but with a dredge in starch, rather than a liquid batter."
kho,"A cooking technique in Vietnamese cuisine in which a protein source such as fish, shrimp, poultry, pork, beef, or fried tofu is braised on low heat in a mixture of fish sauce, sugar, and water or a water substitute such as young coconut juice. It is similar to stew."
kinpira,"A Japanese cooking style that can be summarized as a technique of ""saute and simmer"". It is commonly used to cook root vegetables and other foods."
larding,The act of threading strips of chilled pork fat through a roast.
low-temperature cooking,A cooking technique that uses temperatures in the range of about 60 to 90 C (140 to 194 F) for a prolonged time to cook food.
maceration,"The process of preparing foods by softening, breaking down into pieces, or extracting its flavors, typically using a liquid."
marination,"The technique of soaking a food in a seasoned, often acidic, liquid (known as a marinade) prior to cooking. Marination is generally used as a means of adding or enhancing flavor or tenderizing tough cuts of meat, and the process can vary greatly in duration. It is similar to but distinct from brining and pickling."
microwave cooking,The cooking of food in a microwave oven.
mincing,"Technique in which ingredients are cut into small, uniform pieces"
mother sauces,"In French cuisine, the five ""fundamental"" sauces: bechamel, espagnole, veloute, hollandaise, and tomate, as defined by Auguste Escoffier."
nappage,"a glazing technique used in pastry making. The glaze is used to cover fruit on a fruit tart or other baked goods, to make the fruit pieces shiny, prevent them from drying out, and to reduce oxidation (browning of cut fruit)."
nixtamalization,"A process for the preparation of maize (corn) or other grain in which the grain is soaked and cooked in an alkaline solution, usually limewater, and then hulled."
once-a-month cooking,Preparing and cooking all the meals you need for an entire month in a single day.
outdoor cooking,"Cooking in outdoor environments, which often demand specialized techniques and equipment for preparing food. Equipment used includes mess kits and portable stoves, among others."
pan frying,"Characterized by the use of minimal cooking oil or fat (as opposed to shallow frying or deep frying), typically using just enough oil to lubricate the pan."
parbaking,a cooking technique in which a bread or dough product is partially baked and then rapidly frozen for storage or assembled into a final product.
parboiling,"Partially or incompletely boiling a food, especially as the first step in a longer cooking process. Parboiling involves cooking a food in boiling water only until it begins to soften, removing the food before it is fully cooked. The cooking is then often finished by a different method, such as braising or grilling."
pascalization,"method of preserving and sterilizing food, in which a product is processed under very high pressure, leading to the inactivation of certain microorganisms and enzymes in the food."
paste,"a semi-liquid colloidal suspension, emulsion, or aggregation used in food preparation or eaten directly as a spread"
pasteurization,"a process of food preservation in which packaged foods (e.g., milk and fruit juices) are treated with mild heat, usually to less than 100 C (212 F), to eliminate pathogens and extend shelf life."
flash pasteurization,"method of heat pasteurization of perishable beverages like fruit and vegetable juices, beer, wine, and some dairy products such as milk. Compared with other pasteurization processes, it maintains color and flavor better, but some cheeses were found to have varying responses to the process"
pellicle,"A skin or coating of proteins on the surface of meat, fish, or poultry, which allows smoke to better adhere to the surface of the meat during the smoking process."
pickling,process of preserving or extending the shelf life of food by either anaerobic fermentation in brine or immersion in vinegar. 
poaching,"technique that involves heating food submerged in a liquid, such as water, milk, stock or wine. Poaching is differentiated from the other ""moist heat"" cooking methods, such as simmering and boiling, in that it uses a relatively lower temperature (about 70–80 C or 158–176 F)."
pre-ferment,a fermentation starter used in indirect methods of bread making. It may also be called mother dough.
pressure cooking,"The process of cooking food, using water or other cooking liquid, in a sealed vessel known as a pressure cooker, which does not permit air or liquids to escape below a pre-set pressure."
pressure frying,a variation on pressure cooking where meat and cooking oil are brought to high temperatures while pressure is held high enough to cook the food more quickly. 
proofing,step in the preparation of yeast bread and other baked goods in which the dough is allowed to rest and rise a final time before baking.
puree,"cooked food, usually vegetables, fruits or legumes, that has been ground, pressed, blended or sieved to the consistency of a creamy paste or liquid"
reconstitution,"The process of assembling a palatable food product from processed sources (for example, adding water to concentrated juice or forming meat slurry into chicken nuggets)."
reduction,"process of thickening and intensifying the flavor of a liquid mixture, such as a soup, sauce, wine or juice, by simmering or boiling."
rendering,the process of melting down solid animal fat (suet or trimmings) over low heat to separate pure fat from connective tissue and water
ricing,"cooking term meaning to pass food through a food mill or ""ricer"", which comes in several forms. Creates a very smooth and uniform puree"
roasting,"a cooking method that uses dry heat where hot air covers the food, cooking it evenly on all sides with temperatures of at least 150 C (300 F) from an open flame, oven, or other heat source"
rotisserie,"also known as spit-roasting, is a style of roasting where meat is skewered on a spit – a long, solid rod used to hold food while it is being cooked over a fire in a fireplace or over a campfire, or roasted in an oven"
roux,A paste-like thickening agent made of equal quantities of flour and fat cooked together to a sandy texture.
sauteing,method of cooking that uses a relatively small amount of oil or fat in a shallow pan over relatively high heat.
score,"To cut shallow grooves, often in a diamond pattern, into a cut of meat."
searing,"A technique used in grilling, baking, braising, roasting, sauteing, etc., in which the surface of the food (usually meat, poultry, or fish) is cooked at high temperature until a crust forms from browning."
shuck,"To remove the outer casing of a food item, such as an ear of corn or the shell of an oyster."
simmering,Cooking technique in which foods are cooked in a hot liquid just below the boiling point
skimming,"To remove solids or separated liquids, such as fat from a stock, from the top of a pot with a spoon"
slow cooker,To simmer slowly over a long period of time using a slow cooker
smoking,"process of flavoring, browning, cooking, or preserving food, particularly meat, fish and tea, by exposing it to smoke from burning or smoldering material, most often wood."
sous-vide,"To cook in a hot water bath at a controlled temperature for a long period of time. The intent is to cook the item evenly, ensuring that the inside is properly cooked without overcooking the outside, and to retain moisture."
spatchcock,Poultry or game that has been prepared for roasting or grilling by removing the backbone (and sometimes the sternum) and flattening it out before cooking.
spherification,process that employs sodium alginate and either calcium chloride or calcium glucate lactate to shape a liquid into squishy spheres which visually and texturally resemble roe.
steaming,Method of cooking using steam
steeping,"soaking of an organic solid, such as leaves, in a liquid (usually water) to extract flavours or to soften it."
stewing,"a slow, moist-heat cooking method that tenderizes tough meat cuts by simmering them completely submerged in liquid within a covered pot."
stir frying,cooking technique in which ingredients are fried in a small amount of very hot oil while being stirred or tossed in a wok
stuffing,"An edible food mixture, often a starch, used to fill a cavity in another food item."
sugar panning,"method for adding a coating to a nucleus, such as confectionery or nuts. It generally involves adding a small object to a large pan which contains a liquid or powder. As the pan spins, a coating forms, which is subsequently dried or set."
sweating,"The gentle heating of vegetables in a little oil or butter, which usually results in tender, sometimes translucent, pieces."
Swissing,"a culinary technique used to tenderize tough cuts of beef (typically round or rump steak) by mechanically pounding or rolling them, often while dredging in flour, to break down connective tissues."
tandoor,"A cylindrical clay or metal oven used in cooking and baking in Southern, Central, and Western Asia,"
Tataki,"meat or fish is seared very briefly over a hot flame or in a pan, and can be briefly marinated in vinegar, sliced thin, and seasoned with ginger"
tempering,"Either a method of increasing the shine and durability of chocolate couverture, bringing meat to room temperature before cooking; or bringing food up to temperature slowly as in sous vide"
tenderizing,A process to break down collagens in meat to make it more palatable for consumption.
thickening,"Process of adding a thickening agent, such as corn flour, flour, gelatin, or agar-agar to increase the viscosity of a liquid, especially sauces"
truss,To tie the legs and wings of poultry in a way that promotes even cooking
velveting,"A technique which involves coating pieces of raw meat or poultry in a mixture of cornstarch and liquid prior to cooking, frequently used in Chinese cuisine."
whip,"the culinary technique of rapidly beating ingredients—such as cream or egg whites—to incorporate air, increasing volume and creating a light, fluffy, or stiff texture"
wok cooking,The wok is used in a significant amount of cooking methods.
zest,"The colourful outer layer of citrus fruits, often scraped off and used as a flavouring ingredient."
